library	LibType	geno	condition	sex	batch	kit	data
Atf5_rep2	PE	wt	Atf5	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Atf5_rep2.q30.bam
Atf5_rep3	PE	wt	Atf5	mixed	b	clonetech	/media/storageC/rachel/R Folder/RNA_Atf5_rep3_MS_June2018.q30.bam
Icam_rep1	PE	wt	Icam	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Icam_Rep1_March18.q30.bam
Icam_rep2	PE	wt	Icam	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Icam_rep2_March18.q30.bam
Mash_rep1	PE	wt	Mash1	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Mash1_rep1.q30.bam
Mash_rep2	PE	wt	Mash1	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Mash1_rep2.q30.bam
MashNgn_rep1	PE	wt	Mash1Ngn	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_MashNgn_rep1.q30.bam
MashNgn_rep2	PE	wt	Mash1Ngn	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_MashNgn_rep2.q30.bam
Ngn_rep1	PE	wt	Ngn	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Ngn_Rep1.q30.bam
Ngn_rep2	PE	wt	Ngn	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_Ngn_Rep2.q30.bam
OMP_rep1	PE	wt	OMP	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_OMP_rep1_March2018.q30.bam
OMP_rep2	PE	wt	OMP	mixed	a	clonetech	/media/storageC/rachel/R Folder/RNA_MS_OMP_rep2_March18.q30.bam
OMPtTA_tetOP2_rep1	PE	wt	OMPtTA_tetOP2	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP118_220423_AP/AP118.q30.bam
OMPtTA_tetOP2_KO_rep1	PE	wt	OMPtTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP119_220423_AP/AP119.q30.bam
gg8tTA_tetOP2_KO_rep1	PE	wt	gg8tTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP122_220704_AP/AP122.q30.bam
gg8tTA_tetOP2_WT_rep1	PE	wt	gg8tTA_tetOP2_WT	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP123_220704_AP/AP123.q30.bam
gg8tTA_tetOP2_KO_rep2	PE	wt	gg8tTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP126_220725_AP/AP126.q30.bam
OMPtTA_tetOP2_rep2	PE	wt	OMPtTA_tetOP2	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP127_220725_AP/AP127.q30.bam
OMPtTA_tetOP2_KO_rep2	PE	wt	OMPtTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP124_220704_AP/AP124.q30.bam
OMPtTA_tetOP2_KO_rep3	PE	wt	OMPtTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP125_220704_AP/AP125.q30.bam
gg8tTA_tetOP2_KO_rep3	PE	wt	gg8tTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP154_221122_AP/AP154.q30.bam
