library	LibType	geno	condition	sex	batch	kit	data
OMPtTA_tetOP2_rep1	PE	wt	OMPtTA_tetOP2	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP118_220423_AP/AP118.q30.bam
OMPtTA_tetOP2_KO_rep1	PE	wt	OMPtTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP119_220423_AP/AP119.q30.bam
gg8tTA_tetOP2_KO_rep1	PE	wt	gg8tTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP122_220704_AP/AP122.q30.bam
gg8tTA_tetOP2_WT_rep1	PE	wt	gg8tTA_tetOP2_WT	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP123_220704_AP/AP123.q30.bam
gg8tTA_tetOP2_KO_rep2	PE	wt	gg8tTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP126_220725_AP/AP126.q30.bam
OMPtTA_tetOP2_rep2	PE	wt	OMPtTA_tetOP2	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP127_220725_AP/AP127.q30.bam
OMPtTA_tetOP2_KO_rep2	PE	wt	OMPtTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP124_220704_AP/AP124.q30.bam
OMPtTA_tetOP2_KO_rep3	PE	wt	OMPtTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP125_220704_AP/AP125.q30.bam
gg8tTA_tetOP2_KO_rep3	PE	wt	gg8tTA_tetOP2_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP154_221122_AP/AP154.q30.bam
gg8tTA_tetOGFP_rep1	PE	wt	gg8tTA_tetOGFP	mixed	a	Truseq	/media/storageE/ariel/RNA/RNA_TetOGFPgg8_rep1_Nov2018/RNA_TetOGFPgg8_rep1_Nov2018.q30.bam
gg8tTA_tetOGFP_rep2	PE	wt	gg8tTA_tetOGFP	mixed	a	Truseq	/media/storageE/ariel/RNA/RNA_TetOGFPgg8_rep2_Nov2018/RNA_TetOGFPgg8_rep2_Nov2018.q30.bam
OMPtTA_tetOGFP_rep1	PE	wt	OMPtTA_tetOGFP	mixed	a	Truseq	/media/storageB/mm10-data/bam/Rachel_Nov2018/RNA_TetOGFPomp_rep1_Nov2018.q30.bam
OMPtTA_tetOGFP_rep2	PE	wt	OMPtTA_tetOGFP	mixed	a	Truseq	/media/storageB/mm10-data/bam/Rachel_Nov2018/RNA_TetOGFPomp_rep2_Nov2018.q30.bam
gg8tTA_tetOP2_WT_rep2	PE	wt	gg8tTA_tetOP2_WT	mixed	a	Truseq	/mnt/hermes/data/mm10-data/bam/180831/RNA_tetoP2_g88_180824.q30.bam
gg8tTA_tetOP2_WT_rep3	PE	wt	gg8tTA_tetOP2_WT	mixed	a	Truseq	/mnt/hermes/data/mm10-data/bam/180831/RNA_tetoP2_g88_180813.q30.bam
OMPtTA_tetOM71_KO_rep1	PE	wt	OMPtTA_tetOM71_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP128_220725_AP/AP128.q30.bam
OMPtTA_tetOM71_KO_rep2	PE	wt	OMPtTA_tetOM71_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP129_220725_AP/AP129.q30.bam
OMPtTA_tetOM71_KO_rep3	PE	wt	OMPtTA_tetOM71_KO	mixed	a	clonetech	/mnt/hermes/data/mm10-data/bam/AP131_220816_AP/AP131.q30.bam
