"element"	"cell"
"1"	"chr1,174099934,Olfr427,0"	"10"
"2"	"chr1,174117208,Olfr231,0"	"10"
"3"	"chr1,174250288,Olfr419,0"	"10"
"4"	"chr11,49280552,Olfr1393,0"	"10"
"5"	"chr11,49493283,Olfr1385,0"	"10"
"6"	"chr11,49512034,Olfr1384,0"	"10"
"7"	"chr16,3592614,Olfr161,1"	"10"
"8"	"chr7,102589760,Olfr551,0"	"10"
"9"	"chr7,102602890,Olfr552,0"	"10"
"10"	"chr7,102614740,Olfr553,0"	"10"
"11"	"chr7,106928068,Olfr709-ps1,0"	"10"
"12"	"chr7,106946190,Olfr710,0"	"10"
"13"	"chr7,106958599,Olfr6,0"	"10"
"14"	"chr7,108565315,Olfr504,0"	"10"
"15"	"chr7,108613124,Olfr506,0"	"10"
"16"	"chr7,108622289,Olfr507,0"	"10"
"17"	"chr7,108630823,Olfr508,0"	"10"
"18"	"chr7,108648511,Olfr509,0"	"10"
"19"	"chr7,108667890,Olfr510,0"	"10"
"20"	"chr7,108713848,Olfr512,0"	"10"
"21"	"chr7,108868648,Olfr517,0"	"10"
"22"	"chr7,108881104,Olfr518,0"	"10"
"23"	"chr7,108893940,Olfr519,0"	"10"
"24"	"chr9,39793831,Olfr969,0"	"10"
"25"	"chr9,39814920,Olfr970,0"	"10"
"26"	"chr9,39839898,Olfr971,0"	"10"
"27"	"chr14,49898042,Olfr722,1"	"1"
"28"	"chr14,49930076,Olfr723,1"	"1"
"29"	"chr14,50321728,Olfr734,1"	"1"
"30"	"chr14,50345616,Olfr735,1"	"1"
"31"	"chr14,50411503,Olfr738,1"	"1"
"32"	"chr14,50422866,Olfr739,1"	"1"
"33"	"chr14,50451239,Olfr740,1"	"1"
"34"	"chr14,50480538,Olfr741,1"	"1"
"35"	"chr14,52375188,Olfr1512,1"	"1"
"36"	"chr14,52393586,Olfr1511,1"	"1"
"37"	"chr14,52411756,Olfr1510,1"	"1"
"38"	"chr14,52448161,Olfr1509,1"	"1"
"39"	"chr14,52461843,Olfr1508,1"	"1"
"40"	"chr14,52491331,Olfr1507,1"	"1"
"41"	"chr2,36285480,Olfr334-ps1,1"	"1"
"42"	"chr2,36302010,Olfr335-ps,1"	"1"
"43"	"chr2,36323794,Olfr336-ps1,1"	"1"
"44"	"chr2,36336854,Olfr337-ps1,1"	"1"
"45"	"chr2,36422592,Olfr339,1"	"1"
"46"	"chr2,36640508,Olfr345,1"	"1"
"47"	"chr2,36688545,Olfr346,1"	"1"
"48"	"chr2,36787032,Olfr348,1"	"1"
"49"	"chr2,36792451,Olfr50,1"	"1"
"50"	"chr2,36814123,Olfr3,1"	"1"
"51"	"chr2,36844808,Olfr349-ps1,1"	"1"
"52"	"chr2,36848904,Olfr350,1"	"1"
"53"	"chr2,36860634,Olfr351,1"	"1"
"54"	"chr2,36870042,Olfr352,1"	"1"
"55"	"chr2,36891100,Olfr353,1"	"1"
"56"	"chr2,36910840,Olfr354,1"	"1"
"57"	"chr2,36928033,Olfr355,1"	"1"
"58"	"chr2,36937594,Olfr356,1"	"1"
"59"	"chr2,36997747,Olfr357,1"	"1"
"60"	"chr2,37067483,Olfr360,1"	"1"
"61"	"chr2,37197088,Olfr365,1"	"1"
"62"	"chr2,37216932,Olfr366,1"	"1"
"63"	"chr2,37269169,Olfr367-ps,1"	"1"
"64"	"chr2,37332310,Olfr368,1"	"1"
