"element"	"state"	"cell"
"1"	"chr11,50999358,Symi,0"	"inactive"	"12"
"2"	"chr11,58739310,Souda,0"	"inactive"	"12"
"3"	"chr11,58810944,Andros,0"	"inactive"	"12"
"4"	"chr7,140187230,Fourni,0"	"inactive"	"12"
"5"	"chr14,50758873,Lesvos,0"	"active"	"12"
"6"	"chr14,52548102,H,0"	"active"	"12"
"7"	"chr14,54285038,Agistri,0"	"active"	"12"
"8"	"chr14,54304274,Salamina,0"	"active"	"12"
"9"	"chr1,173190736,Kea,0"	"inactive"	"15"
"10"	"chr1,173212360,Kythnos,0"	"inactive"	"15"
"11"	"chr1,173265900,Serifos,0"	"inactive"	"15"
"12"	"chr1,174342694,Santorini,0"	"inactive"	"15"
"13"	"chr14,50758873,Lesvos,0"	"active"	"15"
"14"	"chr14,52548102,H,0"	"active"	"15"
"15"	"chr14,54285038,Agistri,0"	"active"	"15"
"16"	"chr14,54304274,Salamina,0"	"active"	"15"
"17"	"chr11,87897263,Naxos,0"	"inactive"	"16"
"18"	"chr11,87907305,Kasos,0"	"inactive"	"16"
"19"	"chr11,87937384,Sifnos,0"	"inactive"	"16"
"20"	"chr4,118642412,Nimos,0"	"inactive"	"16"
"21"	"chr4,118658778,Mykonos,0"	"inactive"	"16"
"22"	"chr4,118729616,Leros,0"	"inactive"	"16"
"23"	"chr10,128978954,Poros,0"	"active"	"16"
"24"	"chr14,50758873,Lesvos,0"	"active"	"16"
"25"	"chr14,52548102,H,0"	"active"	"16"
"26"	"chr14,54285038,Agistri,0"	"active"	"16"
"27"	"chr14,54304274,Salamina,0"	"active"	"16"
"28"	"chr17,37544209,Tilos,0"	"active"	"16"
"29"	"chr6,42869928,Sfaktiria,1"	"active"	"16"
"30"	"chr6,42869928,Sfaktiria,0"	"inactive"	"17"
"31"	"chr19,12831017,Rho,1"	"active"	"17"
"32"	"chr11,50999358,Symi,0"	"inactive"	"23"
"33"	"chr11,58739310,Souda,0"	"inactive"	"23"
"34"	"chr11,58810944,Andros,0"	"inactive"	"23"
"35"	"chr16,3781465,Kastelorizo,0"	"inactive"	"23"
"36"	"chr4,118642412,Nimos,1"	"inactive"	"23"
"37"	"chr4,118658778,Mykonos,1"	"inactive"	"23"
"38"	"chr4,118729616,Leros,1"	"inactive"	"23"
"39"	"chr14,50758873,Lesvos,0"	"active"	"23"
"40"	"chr14,52548102,H,0"	"active"	"23"
"41"	"chr16,3781465,Kastelorizo,1"	"active"	"23"
"42"	"chr16,58957158,Gavdos,1"	"active"	"23"
"43"	"chr19,12831017,Rho,1"	"active"	"23"
"44"	"chr7,6545373,Kefallonia,1"	"active"	"23"
"45"	"chr7,108797663,Ios,1"	"active"	"23"
"46"	"chr13,21341290,Tils,1"	"inactive"	"25"
"47"	"chr13,21343730,Halki,1"	"inactive"	"25"
"48"	"chr3,97491365,Folegandros,0"	"inactive"	"25"
"49"	"chr4,58640628,Agios_Efstratios,1"	"inactive"	"25"
"50"	"chr4,58640628,Agios_Efstratios,0"	"inactive"	"25"
"51"	"chr4,58764138,Chios,1"	"inactive"	"25"
"52"	"chr4,58764138,Chios,0"	"inactive"	"25"
"53"	"chr1,92546156,Rhodes,1"	"active"	"25"
"54"	"chr1,173190736,Kea,1"	"active"	"25"
"55"	"chr1,173212360,Kythnos,1"	"active"	"25"
"56"	"chr1,173265900,Serifos,1"	"active"	"25"
"57"	"chr1,174036149,Astypalea,1"	"active"	"25"
"58"	"chr1,174342694,Santorini,1"	"active"	"25"
"59"	"chr14,52548102,H,0"	"active"	"25"
"60"	"chr16,3781465,Kastelorizo,1"	"active"	"25"
"61"	"chr11,87897263,Naxos,1"	"inactive"	"26"
"62"	"chr11,87907305,Kasos,1"	"inactive"	"26"
"63"	"chr11,87937384,Sifnos,1"	"inactive"	"26"
"64"	"chr14,50758873,Lesvos,0"	"active"	"26"
"65"	"chr14,52548102,H,0"	"active"	"26"
"66"	"chr16,58957158,Gavdos,0"	"active"	"26"
"67"	"chr4,118642412,Nimos,0"	"inactive"	"28"
"68"	"chr4,118658778,Mykonos,0"	"inactive"	"28"
"69"	"chr4,118729616,Leros,0"	"inactive"	"28"
"70"	"chr14,52548102,H,0"	"active"	"28"
"71"	"chr14,54285038,Agistri,0"	"active"	"28"
"72"	"chr14,54304274,Salamina,0"	"active"	"28"
"73"	"chr16,3781465,Kastelorizo,1"	"inactive"	"29"
"74"	"chr19,12831017,Rho,0"	"inactive"	"29"
"75"	"chr19,14090659,Oinouses,0"	"inactive"	"29"
"76"	"chr19,14096517,Tinos,0"	"inactive"	"29"
"77"	"chr9,19651318,Donousa,0"	"inactive"	"29"
"78"	"chr9,37687840,Kimolos,0"	"inactive"	"29"
"79"	"chr14,50758873,Lesvos,0"	"active"	"29"
"80"	"chr14,52548102,H,0"	"active"	"29"
"81"	"chr15,98263558,Paxi,0"	"active"	"29"
"82"	"chr7,6545373,Kefallonia,0"	"active"	"29"
"83"	"chr7,6650058,Amorgos,0"	"active"	"29"
"84"	"chr7,108797663,Ios,1"	"active"	"29"
"85"	"chr10,78618146,Aigina,1"	"inactive"	"3"
"86"	"chr11,49575570,Skyros,0"	"inactive"	"3"
"87"	"chr11,50999358,Symi,0"	"inactive"	"3"
"88"	"chr11,58739310,Souda,0"	"inactive"	"3"
"89"	"chr11,58810944,Andros,0"	"inactive"	"3"
"90"	"chr11,59576044,Delos,0"	"inactive"	"3"
"91"	"chr11,74036298,Crete,0"	"inactive"	"3"
"92"	"chr14,50758873,Lesvos,0"	"active"	"3"
"93"	"chr14,52548102,H,0"	"active"	"3"
"94"	"chr19,12831017,Rho,1"	"active"	"3"
"95"	"chr19,14090659,Oinouses,1"	"active"	"3"
"96"	"chr19,14096517,Tinos,1"	"active"	"3"
"97"	"chr7,86295200,Thira,0"	"active"	"3"
"98"	"chr7,108797663,Ios,0"	"active"	"3"
"99"	"chr7,140187230,Fourni,0"	"active"	"3"
"100"	"chr9,19651318,Donousa,0"	"active"	"3"
"101"	"chr2,112200848,Zakynthos,1"	"inactive"	"30"
"102"	"chr14,52548102,H,0"	"active"	"30"
"103"	"chr11,50999358,Symi,0"	"inactive"	"32"
"104"	"chr11,74036298,Crete,0"	"inactive"	"32"
"105"	"chr4,118642412,Nimos,1"	"inactive"	"32"
"106"	"chr4,118642412,Nimos,0"	"inactive"	"32"
"107"	"chr4,118658778,Mykonos,1"	"inactive"	"32"
"108"	"chr4,118658778,Mykonos,0"	"inactive"	"32"
"109"	"chr4,118729616,Leros,1"	"inactive"	"32"
"110"	"chr4,118729616,Leros,0"	"inactive"	"32"
"111"	"chr1,92546156,Rhodes,1"	"active"	"32"
"112"	"chr1,173190736,Kea,1"	"active"	"32"
"113"	"chr1,173212360,Kythnos,1"	"active"	"32"
"114"	"chr1,173265900,Serifos,1"	"active"	"32"
"115"	"chr14,52548102,H,0"	"active"	"32"
"116"	"chr14,54285038,Agistri,0"	"active"	"32"
"117"	"chr14,54304274,Salamina,0"	"active"	"32"
"118"	"chr2,37128089,Lipsi,0"	"active"	"32"
"119"	"chr7,86295200,Thira,0"	"active"	"32"
"120"	"chr7,108797663,Ios,0"	"active"	"32"
