"element"	"cell"
"1"	"chr11,58458188,Olfr30,1"	"10"
"2"	"chr11,58479004,Olfr333-ps1,1"	"10"
"3"	"chr11,58490293,Olfr332,1"	"10"
"4"	"chr11,58502085,Olfr331,1"	"10"
"5"	"chr11,58531010,Olfr330,1"	"10"
"6"	"chr11,58625558,Olfr323,1"	"10"
"7"	"chr11,58664088,Olfr179,1"	"10"
"8"	"chr11,58684338,Olfr320,1"	"10"
"9"	"chr11,73353370,Olfr20,1"	"10"
"10"	"chr11,73374541,Olfr376,1"	"10"
"11"	"chr11,73390148,Olfr377-ps1,1"	"10"
"12"	"chr11,73396494,Olfr1,1"	"10"
"13"	"chr11,73406982,Olfr75-ps1,1"	"10"
"14"	"chr11,73426543,Olfr378,1"	"10"
"15"	"chr11,73433758,Olfr379-ps1,1"	"10"
"16"	"chr11,73455197,Olfr380,1"	"10"
"17"	"chr11,73589267,Olfr385,1"	"10"
"18"	"chr11,73601764,Olfr384,1"	"10"
"19"	"chr11,73724552,Olfr388-ps1,1"	"10"
"20"	"chr11,73777781,Olfr389,1"	"10"
"21"	"chr11,73786705,Olfr390,1"	"10"
"22"	"chr11,73800452,Olfr391-ps,1"	"10"
"23"	"chr11,73814394,Olfr392,1"	"10"
"24"	"chr11,73847934,Olfr393,1"	"10"
"25"	"chr11,73887055,Olfr394,1"	"10"
"26"	"chr11,73907021,Olfr395,1"	"10"
"27"	"chr11,73928788,Olfr396-ps1,1"	"10"
"28"	"chr11,73939668,Olfr23,1"	"10"
"29"	"chr11,73953886,Olfr22-ps1,1"	"10"
"30"	"chr11,73964314,Olfr397,1"	"10"
"31"	"chr11,74107824,Olfr400-ps1,1"	"10"
"32"	"chr11,74121764,Olfr401,1"	"10"
"33"	"chr11,74155104,Olfr402,1"	"10"
"34"	"chr11,74192430,Olfr403,1"	"10"
"35"	"chr11,74208516,Olfr43,1"	"10"
"36"	"chr11,74240036,Olfr404-ps1,1"	"10"
"37"	"chr11,74260728,Olfr405-ps1,1"	"10"
"38"	"chr11,74265744,Olfr406-ps,1"	"10"
"39"	"chr11,74281224,Olfr407-ps1,1"	"10"
"40"	"chr4,118832124,Olfr1333,1"	"10"
"41"	"chr4,118854568,Olfr1332-ps1,1"	"10"
"42"	"chr4,118868178,Olfr1331,1"	"10"
"43"	"chr4,118893356,Olfr1330,1"	"10"
"44"	"chr4,118916994,Olfr1329,1"	"10"
"45"	"chr4,118934799,Olfr1328,1"	"10"
"46"	"chr7,140336284,Olfr527,0"	"10"
"47"	"chr7,140353078,Olfr60,0"	"10"
"48"	"chr7,140374199,Olfr530,0"	"10"
"49"	"chr7,140400982,Olfr531,0"	"10"
"50"	"chr7,140418674,Olfr532,0"	"10"
"51"	"chr7,140465748,Olfr533,0"	"10"
"52"	"chr7,140490660,Olfr535,0"	"10"
"53"	"chr7,140504122,Olfr536,0"	"10"
"54"	"chr7,140633894,Olfr61,0"	"10"
"55"	"chr7,140649778,Olfr53,0"	"10"
"56"	"chr7,140667768,Olfr539,0"	"10"
"57"	"chr11,49459672,Olfr1387,0"	"11"
"58"	"chr2,36891100,Olfr353,1"	"11"
"59"	"chr2,36910840,Olfr354,1"	"11"
"60"	"chr2,36928033,Olfr355,1"	"11"
"61"	"chr2,36937594,Olfr356,1"	"11"
"62"	"chr2,36997747,Olfr357,1"	"11"
"63"	"chr2,37005749,Olfr358,1"	"11"
"64"	"chr2,37019730,Olfr359-ps1,1"	"11"
"65"	"chr2,37332310,Olfr368,1"	"11"
"66"	"chr6,42460546,Olfr458,0"	"11"
"67"	"chr6,42472138,Olfr457,0"	"11"
"68"	"chr6,42486688,Olfr456,0"	"11"
"69"	"chr6,42742994,Olfr453,0"	"11"
"70"	"chr6,42760134,Olfr38,0"	"11"
"71"	"chr6,42788356,Olfr452,0"	"11"
"72"	"chr6,42818220,Olfr450,0"	"11"
"73"	"chr6,42926259,Olfr446,0"	"11"
"74"	"chr6,42955984,Olfr444,0"	"11"
"75"	"chr4,118782110,Olfr1337,0"	"13"
"76"	"chr4,118809370,Olfr1335,0"	"13"
"77"	"chr4,118832124,Olfr1333,0"	"13"
"78"	"chr4,118854568,Olfr1332-ps1,0"	"13"
"79"	"chr4,118868178,Olfr1331,0"	"13"
"80"	"chr4,118893356,Olfr1330,0"	"13"
"81"	"chr4,118916994,Olfr1329,0"	"13"
"82"	"chr4,118934799,Olfr1328,0"	"13"
"83"	"chr6,42742994,Olfr453,1"	"13"
"84"	"chr6,42760134,Olfr38,1"	"13"
"85"	"chr6,42788356,Olfr452,1"	"13"
"86"	"chr6,42818220,Olfr450,1"	"13"
"87"	"chr6,42926259,Olfr446,1"	"13"
"88"	"chr6,42955984,Olfr444,1"	"13"
"89"	"chr6,116493616,Olfr211,1"	"13"
"90"	"chr6,116512242,Olfr212,1"	"13"
"91"	"chr6,116541368,Olfr213,1"	"13"
"92"	"chr6,116557423,Olfr214,1"	"13"
"93"	"chr15,98190778,Olfr288,1"	"16"
"94"	"chr15,98340480,Olfr284,1"	"16"
"95"	"chr15,98379322,Olfr283,1"	"16"
"96"	"chr15,98435158,Olfr282,1"	"16"
"97"	"chr15,98456227,Olfr281,1"	"16"
"98"	"chr15,98497476,Olfr279,1"	"16"
"99"	"chr2,37067483,Olfr360,0"	"16"
"100"	"chr2,37197088,Olfr365,0"	"16"
"101"	"chr2,37216932,Olfr366,0"	"16"
"102"	"chr2,90056609,Olfr140,0"	"16"
"103"	"chr2,90085994,Olfr1267-ps1,0"	"16"
"104"	"chr2,90110930,Olfr1268-ps1,0"	"16"
"105"	"chr2,90119557,Olfr1269,0"	"16"
"106"	"chr2,90139183,Olfr32,0"	"16"
"107"	"chr2,90149166,Olfr1270,0"	"16"
"108"	"chr2,90223019,Olfr1506,0"	"16"
"109"	"chr2,90253849,Olfr142,0"	"16"
"110"	"chr2,90265789,Olfr1271,0"	"16"
"111"	"chr2,90282110,Olfr1272,0"	"16"
"112"	"chr2,90294762,Olfr1273-ps,0"	"16"
"113"	"chr2,111593542,Olfr1296-ps1,0"	"16"
"114"	"chr2,111620852,Olfr1297,0"	"16"
"115"	"chr2,111646868,Olfr1298,0"	"16"
"116"	"chr2,111663616,Olfr1299,0"	"16"
"117"	"chr2,111848050,Olfr268-ps1,0"	"16"
"118"	"chr2,111872612,Olfr1305,0"	"16"
"119"	"chr2,111913043,Olfr1306,0"	"16"
"120"	"chr2,111946603,Olfr1307,0"	"16"
"121"	"chr2,111962114,Olfr1308,0"	"16"
"122"	"chr2,111982592,Olfr1309,0"	"16"
"123"	"chr2,112010042,Olfr1310,0"	"16"
"124"	"chr2,112022011,Olfr1311,0"	"16"
"125"	"chr2,112045272,Olfr1312,0"	"16"
"126"	"chr2,112073966,Olfr1313,0"	"16"
"127"	"chr2,112092230,Olfr1314,0"	"16"
"128"	"chr2,112112748,Olfr1315-ps1,0"	"16"
"129"	"chr2,112131312,Olfr1316,0"	"16"
"130"	"chr2,112140341,Olfr1317,0"	"16"
"131"	"chr7,107128816,Olfr715,0"	"16"
"132"	"chr7,107143918,Olfr716,0"	"16"
"133"	"chr7,107845572,Olfr470,0"	"16"
"134"	"chr7,107902832,Olfr472,0"	"16"
"135"	"chr7,107933074,Olfr473,0"	"16"
"136"	"chr7,107955109,Olfr474,0"	"16"
"137"	"chr7,107967072,Olfr476,0"	"16"
"138"	"chr7,107989671,Olfr477,0"	"16"
"139"	"chr7,108032006,Olfr478,0"	"16"
