"element"	"cell"
"1"	"chr14,49930076,Olfr723,0"	"12"
"2"	"chr14,49961602,Olfr724,0"	"12"
"3"	"chr14,50037344,Olfr725,0"	"12"
"4"	"chr14,50087262,Olfr726,0"	"12"
"5"	"chr14,50127495,Olfr727,0"	"12"
"6"	"chr14,50138219,Olfr728,0"	"12"
"7"	"chr14,50148820,Olfr729,0"	"12"
"8"	"chr14,50185747,Olfr730,0"	"12"
"9"	"chr14,50237606,Olfr731,0"	"12"
"10"	"chr14,50281208,Olfr732,0"	"12"
"11"	"chr14,50298517,Olfr733,0"	"12"
"12"	"chr14,52448161,Olfr1509,0"	"12"
"13"	"chr14,52461843,Olfr1508,0"	"12"
"14"	"active"	"12"
"15"	"chr14,52448161,Olfr1509,0"	"15"
"16"	"chr14,52461843,Olfr1508,0"	"15"
"17"	"active"	"15"
"18"	"chr10,129036296,Olfr764,0"	"16"
"19"	"chr10,129047408,Olfr765,0"	"16"
"20"	"chr10,129065415,Olfr766,0"	"16"
"21"	"chr14,50087262,Olfr726,0"	"16"
"22"	"chr14,50127495,Olfr727,0"	"16"
"23"	"chr14,50138219,Olfr728,0"	"16"
"24"	"chr14,50148820,Olfr729,0"	"16"
"25"	"chr14,50185747,Olfr730,0"	"16"
"26"	"chr14,50281208,Olfr732,0"	"16"
"27"	"chr14,50298517,Olfr733,0"	"16"
"28"	"chr14,50321728,Olfr734,0"	"16"
"29"	"chr14,50345616,Olfr735,0"	"16"
"30"	"chr14,50387678,Olfr736,0"	"16"
"31"	"chr14,50411503,Olfr738,0"	"16"
"32"	"chr14,50686557,Olfr747,0"	"16"
"33"	"chr17,33197656,Olfr239,0"	"16"
"34"	"chr17,37445998,Olfr108,0"	"16"
"35"	"chr17,37451719,Olfr760-ps1,0"	"16"
"36"	"chr17,37465282,Olfr109,0"	"16"
"37"	"chr6,42818220,Olfr450,1"	"16"
"38"	"chr6,42926259,Olfr446,1"	"16"
"39"	"chr6,42955984,Olfr444,1"	"16"
"40"	"chr6,43215528,Olfr434,1"	"16"
"41"	"chr6,43234244,Olfr47,1"	"16"
"42"	"chr11,58458188,Olfr30,1"	"17"
"43"	"chr11,58479004,Olfr333-ps1,1"	"17"
"44"	"chr11,58490293,Olfr332,1"	"17"
"45"	"chr11,58502085,Olfr331,1"	"17"
"46"	"chr11,58531010,Olfr330,1"	"17"
"47"	"chr11,58543121,Olfr329-ps,1"	"17"
"48"	"chr11,58553242,Olfr328,1"	"17"
"49"	"chr11,58567556,Olfr224,1"	"17"
"50"	"chr11,58580048,Olfr325,1"	"17"
"51"	"chr11,58597938,Olfr324,1"	"17"
"52"	"chr11,58625558,Olfr323,1"	"17"
"53"	"chr11,58664088,Olfr179,1"	"17"
"54"	"chr11,58684338,Olfr320,1"	"17"
"55"	"chr14,52036997,Olfr221,0"	"17"
"56"	"chr14,52411756,Olfr1510,0"	"17"
"57"	"chr14,52448161,Olfr1509,0"	"17"
"58"	"chr14,52461843,Olfr1508,0"	"17"
"59"	"chr17,33197656,Olfr239,0"	"17"
"60"	"chr17,33268871,Olfr63,0"	"17"
"61"	"chr17,37263230,Olfr98,0"	"17"
"62"	"chr17,37277376,Olfr755-ps1,0"	"17"
"63"	"chr17,37281222,Olfr99,0"	"17"
"64"	"chr17,37285606,Olfr756-ps1,0"	"17"
"65"	"chr17,37300934,Olfr101,0"	"17"
"66"	"chr17,37313924,Olfr102,0"	"17"
"67"	"chr17,37337394,Olfr103,0"	"17"
"68"	"chr17,37361762,Olfr104-ps,0"	"17"
"69"	"chr17,37377040,Olfr757-ps1,0"	"17"
"70"	"chr17,37382620,Olfr105-ps,0"	"17"
"71"	"chr17,37387799,Olfr758-ps1,0"	"17"
"72"	"chr17,37393298,Olfr106-ps,0"	"17"
"73"	"chr17,37403442,Olfr107,0"	"17"
"74"	"chr17,37408121,Olfr759-ps1,0"	"17"
"75"	"chr17,37445998,Olfr108,0"	"17"
"76"	"chr17,37451719,Olfr760-ps1,0"	"17"
"77"	"chr17,37465282,Olfr109,0"	"17"
"78"	"chr19,11833011,Olfr1417,1"	"17"
"79"	"chr19,11856826,Olfr1418,1"	"17"
"80"	"chr19,11871860,Olfr1419,1"	"17"
"81"	"chr19,11892319,Olfr1420,1"	"17"
"82"	"chr19,12060646,Olfr1424,1"	"17"
"83"	"chr19,12120662,Olfr76,1"	"17"
"84"	"chr19,12206080,Olfr1431,1"	"17"
"85"	"chr19,12230238,Olfr1432,1"	"17"
"86"	"chr19,12241190,Olfr262,1"	"17"
"87"	"chr19,12265710,Olfr235,1"	"17"
"88"	"chr19,12282740,Olfr1433,1"	"17"
"89"	"chr19,12298656,Olfr1436,1"	"17"
"90"	"chr19,12322154,Olfr1437,1"	"17"
"91"	"chr19,12394435,Olfr1440,1"	"17"
"92"	"chr19,12420394,Olfr1441,1"	"17"
"93"	"chr19,12673685,Olfr1442,1"	"17"
"94"	"chr19,12680978,Olfr1443,1"	"17"
"95"	"chr19,12884355,Olfr1445,1"	"17"
"96"	"chr19,12890887,Olfr1446,1"	"17"
"97"	"chr19,12901596,Olfr1447,1"	"17"
"98"	"chr19,12920608,Olfr1448,1"	"17"
"99"	"chr19,12933378,Olfr1449,1"	"17"
"100"	"chr19,12954080,Olfr1450,1"	"17"
"101"	"chr19,12997681,Olfr1451,1"	"17"
"102"	"chr19,13016687,Olfr1452-ps1,1"	"17"
"103"	"chr19,13027866,Olfr1453,1"	"17"
"104"	"chr19,13063818,Olfr1454,1"	"17"
"105"	"chr19,13079078,Olfr1456-ps1,1"	"17"
"106"	"chr19,13094765,Olfr1457,1"	"17"
"107"	"chr19,13104184,Olfr1458,1"	"17"
"108"	"chr19,13143785,Olfr1459,1"	"17"
"109"	"chr19,13165588,Olfr1461,1"	"17"
"110"	"chr19,13191130,Olfr1462,1"	"17"
"111"	"chr19,13233576,Olfr1463,1"	"17"
"112"	"chr19,13313822,Olfr1465,1"	"17"
"113"	"chr19,13341217,Olfr1466,1"	"17"
"114"	"chr19,13365038,Olfr1467,1"	"17"
"115"	"chr19,13412556,Olfr1469,1"	"17"
"116"	"chr19,13447468,Olfr1471,1"	"17"
"117"	"chr19,13454043,Olfr1472,1"	"17"
"118"	"chr19,13471444,Olfr1474,1"	"17"
"119"	"chr19,13479724,Olfr1475,1"	"17"
"120"	"chr19,13503369,Olfr1477,1"	"17"
"121"	"chr19,13619276,Olfr1487,1"	"17"
"122"	"chr19,13635643,Olfr1489,1"	"17"
"123"	"chr19,13701608,Olfr1491,1"	"17"
"124"	"chr19,13745102,Olfr1494,1"	"17"
"125"	"chr19,13767427,Olfr1495,1"	"17"
"126"	"chr19,13780399,Olfr1496,1"	"17"
"127"	"chr19,13796263,Olfr1497,1"	"17"
"128"	"chr19,13816842,Olfr1499,1"	"17"
"129"	"chr19,13828728,Olfr1500,1"	"17"
"130"	"chr19,13862270,Olfr1502,1"	"17"
"131"	"chr19,13877855,Olfr1503-ps1,1"	"17"
"132"	"chr19,13887763,Olfr1504,1"	"17"
"133"	"chr19,13917698,Olfr1505,1"	"17"
"134"	"chr2,85579748,Olfr996,1"	"17"
"135"	"chr2,85585564,Olfr997-ps1,1"	"17"
"136"	"chr2,85590500,Olfr998,1"	"17"
"137"	"chr2,85602253,Olfr999-ps1,1"	"17"
"138"	"chr2,85609516,Olfr1000,1"	"17"
"139"	"chr2,85633903,Olfr1001-ps1,1"	"17"
"140"	"chr2,85647412,Olfr1002,1"	"17"
"141"	"chr2,85653691,Olfr1003-ps1,1"	"17"
"142"	"chr2,85656490,Olfr1004-ps1,1"	"17"
"143"	"chr2,85663916,Olfr154,1"	"17"
"144"	"chr2,85676226,Olfr1006,1"	"17"
"145"	"chr2,85689902,Olfr1008,1"	"17"
"146"	"chr2,85722334,Olfr1009,1"	"17"
"147"	"chr2,85753834,Olfr1010,1"	"17"
