"element"	"cell"
"1"	"chr11,58479004,Olfr333-ps1,0"	"12"
"2"	"chr11,58625558,Olfr323,0"	"12"
"3"	"chr11,58664088,Olfr179,0"	"12"
"4"	"chr11,58684338,Olfr320,0"	"12"
"5"	"chr7,140324070,Olfr525,0"	"12"
"6"	"chr7,140336284,Olfr527,0"	"12"
"7"	"chr7,140353078,Olfr60,0"	"12"
"8"	"chr1,172954369,Olfr16,0"	"15"
"9"	"chr1,173132712,Olfr1408,0"	"15"
"10"	"chr1,174250288,Olfr419,0"	"15"
"11"	"chr1,174429406,Olfr414,0"	"15"
"12"	"chr1,174448450,Olfr220,0"	"15"
"13"	"chr4,118782110,Olfr1337,0"	"16"
"14"	"chr4,118809370,Olfr1335,0"	"16"
"15"	"chr4,118832124,Olfr1333,0"	"16"
"16"	"chr4,118854568,Olfr1332-ps1,0"	"16"
"17"	"chr4,118868178,Olfr1331,0"	"16"
"18"	"chr4,118893356,Olfr1330,0"	"16"
"19"	"chr4,118916994,Olfr1329,0"	"16"
"20"	"chr4,118934799,Olfr1328,0"	"16"
"21"	"chr6,42472138,Olfr457,0"	"17"
"22"	"chr6,42486688,Olfr456,0"	"17"
"23"	"chr6,42742994,Olfr453,0"	"17"
"24"	"chr6,42760134,Olfr38,0"	"17"
"25"	"chr6,42788356,Olfr452,0"	"17"
"26"	"chr6,42818220,Olfr450,0"	"17"
"27"	"chr6,42926259,Olfr446,0"	"17"
"28"	"chr6,42955984,Olfr444,0"	"17"
"29"	"chr6,43094892,Olfr443-ps1,0"	"17"
"30"	"chr6,43116210,Olfr441,0"	"17"
"31"	"chr6,43151880,Olfr237-ps1,0"	"17"
"32"	"chr11,49112428,Olfr1396,0"	"23"
"33"	"chr11,49132773,Olfr56,0"	"23"
"34"	"chr11,49146364,Olfr1395,0"	"23"
"35"	"chr11,58490293,Olfr332,0"	"23"
"36"	"chr11,58502085,Olfr331,0"	"23"
"37"	"chr11,58531010,Olfr330,0"	"23"
"38"	"chr11,58543121,Olfr329-ps,0"	"23"
"39"	"chr11,58553242,Olfr328,0"	"23"
"40"	"chr11,58567556,Olfr224,0"	"23"
"41"	"chr11,58580048,Olfr325,0"	"23"
"42"	"chr11,58597938,Olfr324,0"	"23"
"43"	"chr11,58664088,Olfr179,0"	"23"
"44"	"chr11,58684338,Olfr320,0"	"23"
"45"	"chr16,3592614,Olfr161,0"	"23"
"46"	"chr4,118782110,Olfr1337,1"	"23"
"47"	"chr4,118809370,Olfr1335,1"	"23"
"48"	"chr4,118832124,Olfr1333,1"	"23"
"49"	"chr4,118854568,Olfr1332-ps1,1"	"23"
"50"	"chr4,118868178,Olfr1331,1"	"23"
"51"	"chr4,118893356,Olfr1330,1"	"23"
"52"	"chr4,118916994,Olfr1329,1"	"23"
"53"	"chr4,118782110,Olfr1337,0"	"28"
"54"	"chr4,118809370,Olfr1335,0"	"28"
"55"	"chr4,118832124,Olfr1333,0"	"28"
"56"	"chr4,118854568,Olfr1332-ps1,0"	"28"
"57"	"chr4,118868178,Olfr1331,0"	"28"
"58"	"chr4,118893356,Olfr1330,0"	"28"
"59"	"chr4,118916994,Olfr1329,0"	"28"
"60"	"chr4,118934799,Olfr1328,0"	"28"
"61"	"chr19,12920608,Olfr1448,0"	"29"
"62"	"chr9,19319000,Olfr844,0"	"29"
"63"	"chr9,19376162,Olfr847,0"	"29"
"64"	"chr9,19712249,Olfr857,0"	"29"
"65"	"chr9,19782808,Olfr58,0"	"29"
"66"	"chr9,37746865,Olfr874,0"	"29"
"67"	"chr9,37773158,Olfr875,0"	"29"
"68"	"chr9,37804642,Olfr876,0"	"29"
"69"	"chr11,49158613,Olfr1394,0"	"3"
"70"	"chr11,49428018,Olfr1389,0"	"3"
"71"	"chr11,58580048,Olfr325,0"	"3"
"72"	"chr11,58597938,Olfr324,0"	"3"
"73"	"chr11,73847934,Olfr393,0"	"3"
"74"	"chr11,73887055,Olfr394,0"	"3"
"75"	"chr1,92480550,Olfr1416,1"	"30"
"76"	"chr2,112010042,Olfr1310,1"	"30"
"77"	"chr2,112022011,Olfr1311,1"	"30"
"78"	"chr2,112045272,Olfr1312,1"	"30"
"79"	"chr2,112073966,Olfr1313,1"	"30"
"80"	"chr2,112092230,Olfr1314,1"	"30"
"81"	"chr2,112112748,Olfr1315-ps1,1"	"30"
"82"	"chr2,112131312,Olfr1316,1"	"30"
"83"	"chr2,112140341,Olfr1317,1"	"30"
"84"	"chr11,58502085,Olfr331,0"	"32"
"85"	"chr11,58531010,Olfr330,0"	"32"
"86"	"chr11,58543121,Olfr329-ps,0"	"32"
"87"	"chr11,58553242,Olfr328,0"	"32"
"88"	"chr11,58567556,Olfr224,0"	"32"
"89"	"chr11,58580048,Olfr325,0"	"32"
"90"	"chr11,58597938,Olfr324,0"	"32"
"91"	"chr11,58625558,Olfr323,0"	"32"
"92"	"chr11,73516396,Olfr382,0"	"32"
"93"	"chr11,73540886,Olfr383-ps1,0"	"32"
"94"	"chr11,73589267,Olfr385,0"	"32"
"95"	"chr11,73601764,Olfr384,0"	"32"
"96"	"chr11,73662958,Olfr387-ps1,0"	"32"
"97"	"chr11,73777781,Olfr389,0"	"32"
"98"	"chr11,73887055,Olfr394,0"	"32"
"99"	"chr11,73907021,Olfr395,0"	"32"
"100"	"chr11,74107824,Olfr400-ps1,0"	"32"
"101"	"chr11,74121764,Olfr401,0"	"32"
"102"	"chr11,74155104,Olfr402,0"	"32"
"103"	"chr11,74192430,Olfr403,0"	"32"
"104"	"chr11,74208516,Olfr43,0"	"32"
"105"	"chr11,74240036,Olfr404-ps1,0"	"32"
"106"	"chr11,74260728,Olfr405-ps1,0"	"32"
"107"	"chr11,74265744,Olfr406-ps,0"	"32"
"108"	"chr11,74281224,Olfr407-ps1,0"	"32"
"109"	"chr11,74287672,Olfr59,0"	"32"
"110"	"chr11,74298612,Olfr408-ps1,0"	"32"
"111"	"chr11,74317514,Olfr409-ps1,0"	"32"
"112"	"chr11,74334162,Olfr410,0"	"32"
"113"	"chr11,74348890,Olfr411,0"	"32"
"114"	"chr19,13165588,Olfr1461,1"	"32"
"115"	"chr19,13191130,Olfr1462,1"	"32"
"116"	"chr4,118893356,Olfr1330,1"	"32"
"117"	"chr4,118893356,Olfr1330,0"	"32"
"118"	"chr4,118916994,Olfr1329,1"	"32"
"119"	"chr4,118916994,Olfr1329,0"	"32"
"120"	"chr4,118934799,Olfr1328,1"	"32"
"121"	"chr17,33174600,Olfr55,0"	"33"
"122"	"chr17,33197656,Olfr239,0"	"33"
"123"	"chr17,33268871,Olfr63,0"	"33"
"124"	"chr2,111232837,Olfr1275,1"	"33"
"125"	"chr2,111257772,Olfr1276,1"	"33"
"126"	"chr2,111269505,Olfr1277,1"	"33"
"127"	"chr2,111294511,Olfr1278,1"	"33"
"128"	"chr2,111304799,Olfr1279,1"	"33"
"129"	"chr2,111315939,Olfr1280,1"	"33"
"130"	"chr2,111378366,Olfr1284,1"	"33"
"131"	"chr2,111420615,Olfr1286,1"	"33"
"132"	"chr2,111593542,Olfr1296-ps1,1"	"33"
"133"	"chr2,111620852,Olfr1297,1"	"33"
"134"	"chr2,111646868,Olfr1298,1"	"33"
"135"	"chr2,111663616,Olfr1299,1"	"33"
"136"	"chr2,111848050,Olfr268-ps1,1"	"33"
"137"	"chr2,111872612,Olfr1305,1"	"33"
"138"	"chr2,111913043,Olfr1306,1"	"33"
"139"	"chr2,111946603,Olfr1307,1"	"33"
"140"	"chr2,111962114,Olfr1308,1"	"33"
