"element"	"state"	"cell"
"1"	"chr11,58739310,Souda,1"	"inactive"	"10"
"2"	"chr11,58810944,Andros,1"	"inactive"	"10"
"3"	"chr11,59576044,Delos,1"	"inactive"	"10"
"4"	"chr11,74036298,Crete,1"	"inactive"	"10"
"5"	"chr4,118642412,Nimos,1"	"inactive"	"10"
"6"	"chr4,118658778,Mykonos,1"	"inactive"	"10"
"7"	"chr4,118729616,Leros,1"	"inactive"	"10"
"8"	"chr7,140187230,Fourni,0"	"inactive"	"10"
"9"	"chr1,174036149,Astypalea,0"	"active"	"10"
"10"	"chr1,174342694,Santorini,0"	"active"	"10"
"11"	"chr11,49575570,Skyros,0"	"active"	"10"
"12"	"chr16,3781465,Kastelorizo,1"	"active"	"10"
"13"	"chr16,58957158,Gavdos,1"	"active"	"10"
"14"	"chr7,99730118,Patmos,0"	"active"	"10"
"15"	"chr7,99788064,Ikaria,0"	"active"	"10"
"16"	"chr7,102513116,Milos,0"	"active"	"10"
"17"	"chr7,102673445,Pontikonisi,0"	"active"	"10"
"18"	"chr7,108797663,Ios,0"	"active"	"10"
"19"	"chr6,42576866,Anafi,0"	"inactive"	"11"
"20"	"chr6,42869928,Sfaktiria,0"	"inactive"	"11"
"21"	"chr13,65163423,Agathonisi,0"	"active"	"11"
"22"	"chr16,58957158,Gavdos,0"	"active"	"11"
"23"	"chr4,118642412,Nimos,0"	"inactive"	"13"
"24"	"chr4,118658778,Mykonos,0"	"inactive"	"13"
"25"	"chr4,118729616,Leros,0"	"inactive"	"13"
"26"	"chr6,42576866,Anafi,1"	"inactive"	"13"
"27"	"chr6,42869928,Sfaktiria,1"	"inactive"	"13"
"28"	"chr6,116614138,Kalymnos,1"	"inactive"	"13"
"29"	"chr7,99730118,Patmos,0"	"active"	"13"
"30"	"chr7,99788064,Ikaria,0"	"active"	"13"
"31"	"chr7,102513116,Milos,0"	"active"	"13"
"32"	"chr7,108797663,Ios,0"	"active"	"13"
"33"	"chr9,37687840,Kimolos,0"	"active"	"13"
"34"	"chr15,98263558,Paxi,1"	"inactive"	"16"
"35"	"chr2,37128089,Lipsi,0"	"inactive"	"16"
"36"	"chr2,111727008,Evia,0"	"inactive"	"16"
"37"	"chr2,111790066,Antiparos,0"	"inactive"	"16"
"38"	"chr7,108797663,Ios,0"	"inactive"	"16"
"39"	"chr15,98263558,Paxi,0"	"active"	"16"
"40"	"chr2,90414460,Paros,0"	"active"	"16"
"41"	"chr7,102513116,Milos,0"	"active"	"16"
"42"	"chr7,102673445,Pontikonisi,0"	"active"	"16"
"43"	"chr7,140187230,Fourni,0"	"active"	"16"
"44"	"chr1,92546156,Rhodes,1"	"inactive"	"22"
"45"	"chr1,173190736,Kea,1"	"inactive"	"22"
"46"	"chr1,173212360,Kythnos,1"	"inactive"	"22"
"47"	"chr1,173265900,Serifos,1"	"inactive"	"22"
"48"	"chr1,174036149,Astypalea,1"	"inactive"	"22"
"49"	"chr1,174342694,Santorini,1"	"inactive"	"22"
"50"	"chr7,102513116,Milos,1"	"inactive"	"22"
"51"	"chr7,102673445,Pontikonisi,1"	"inactive"	"22"
"52"	"chr7,108797663,Ios,1"	"inactive"	"22"
"53"	"chr15,98263558,Paxi,1"	"active"	"22"
"54"	"chr16,3781465,Kastelorizo,0"	"active"	"22"
"55"	"chr4,118642412,Nimos,1"	"active"	"22"
"56"	"chr4,118658778,Mykonos,1"	"active"	"22"
"57"	"chr4,118729616,Leros,1"	"active"	"22"
